/time,/acc,/act/pos,/act/vel,/mes/pos,/mes/vel,/est/pos,/est/vel,/noise/random,/noise/gussian
0.01,0.06279051952931337,3.139525976465669e-06,0.0006279051952931338,3.139525976465669e-06,0.0006279051952931338,3.139525976465669e-06,0.0006279051952931338,0.1487141489480014,0.3127334830062241
0.02,0.12533323356430426,1.568523960761222e-05,0.0018812375309361765,1.568523960761222e-05,0.0018812375309361765,1.568523960761222e-05,0.0018812375309361765,0.5892259775481983,0.42773773841460383
0.03,0.1873813145857246,4.3866680646260216e-05,0.0037550506767934227,4.3866680646260216e-05,0.0037550506767934227,4.3866680646260216e-05,0.0037550506767934227,0.6238729226734897,0.23819540211441317
0.04,0.2486898871648548,9.385168177243719e-05,0.006241949548441971,9.385168177243719e-05,0.006241949548441971,9.385168177243719e-05,0.006241949548441971,0.9632618496027238,1.3057192472609318
0.05,0.3090169943749474,0.00017172202697560428,0.009332119492191445,0.00017172202697560428,0.009332119492191445,0.00017172202697560428,0.009332119492191445,0.03832518426106035,0.8395099459388464
0.06,0.3681245526846779,0.00028344944953175266,0.013013365019038225,0.00028344944953175266,0.013013365019038225,0.00028344944953175266,0.013013365019038225,0.7281873510656184,0.7875227607208669
0.07,0.4257792915650727,0.0004348720643003885,0.017271157934688953,0.0004348720643003885,0.017271157934688953,0.0004348720643003885,0.017271157934688953,0.40604018779606266,0.7438287618415208
0.08,0.4817536741017153,0.0006316713273523638,0.022088694675706108,0.0006316713273523638,0.022088694675706108,0.0006316713273523638,0.022088694675706108,0.980058019090398,0.6302639270739958
0.09,0.5358267949789967,0.0008793496138583748,0.027446962625496077,0.0008793496138583748,0.027446962625496077,0.0008793496138583748,0.027446962625496077,0.8183183222868025,0.39087028343583313
0.1,0.5877852522924731,0.0011832085027279594,0.03332481514842081,0.0011832085027279594,0.03332481514842081,0.0011832085027279594,0.03332481514842081,0.20848002778380248,-0.6148080256222936
0.11,0.6374239897486896,0.001548327853699602,0.039699055045907705,0.001548327853699602,0.039699055045907705,0.001548327853699602,0.039699055045907705,0.047706962808510056,-0.0008564037162996106
0.12,0.6845471059286886,0.0019795457594551135,0.04654452610519459,0.0019795457594551135,0.04654452610519459,0.0019795457594551135,0.04654452610519459,0.6928170719785133,-0.4086347501665888
0.13,0.7289686274214116,0.0024814394518781297,0.053834212379408705,0.0024814394518781297,0.053834212379408705,0.0024814394518781297,0.053834212379408705,0.0767633053726039,0.772882639848518
0.14,0.7705132427757893,0.0030583072378110063,0.0615393448071666,0.0030583072378110063,0.0615393448071666,0.0030583072378110063,0.0615393448071666,0.09647649616623621,-0.4616481465731161
0.15,0.8090169943749475,0.0037141515356014193,0.06962951475091607,0.0037141515356014193,0.06962951475091607,0.0037141515356014193,0.06962951475091607,0.7437133176506027,0.05767838290446566
0.16,0.8443279255020151,0.004452663079385681,0.07807279400593622,0.004452663079385681,0.07807279400593622,0.004452663079385681,0.07807279400593622,0.7118076573632366,0.13805663716213692
0.17,0.8763066800438637,0.005277206353447236,0.08683586080637486,0.005277206353447236,0.08683586080637486,0.005277206353447236,0.08683586080637486,0.9373160042677696,0.22302398991336286
0.18,0.9048270524660196,0.0061908063141342855,0.09588413133103506,0.0061908063141342855,0.09588413133103506,0.0061908063141342855,0.09588413133103506,0.7680424972450349,1.0259413940391766
0.19,0.9297764858882513,0.007196136451739049,0.10518189618991758,0.007196136451739049,0.10518189618991758,0.007196136451739049,0.10518189618991758,0.9551223238871565,-0.7959180353585427
0.2,0.9510565162951535,0.008295508239452982,0.11469246135286912,0.008295508239452982,0.11469246135286912,0.008295508239452982,0.11469246135286912,0.3131704963828955,0.30568000053934175
0.21,0.9685831611286311,0.009490862011038105,0.12437829296415542,0.009490862011038105,0.12437829296415542,0.009490862011038105,0.12437829296415542,0.059132413777779114,-0.23626682900289186
